table	production_rows	staging_rows	source_columns	final_disposition	owner	responsibility	canonical_readers_writers	direct_sql_boundaries	target_checks	retention
guest_thread_entries	0	6	13	retain domain table	Guest inbox ledger	Append-only submission/message/operation/assignment/resolution with sequence/dedupe	domain/guest-threads/entries.ts; domain/guest-threads/repository.ts	seed-definitions/demo.ts:1760; scripts/canary-notifications.mjs:133; scripts/canary-notifications.mjs:158; scripts/canary-notifications.mjs:200; scripts/canary-notifications.mjs:271; scripts/generate-demo-seed.ts:246; server/utils/dashboard-booking-details.ts:186; server/domain/guest-threads/repository.ts:113; server/domain/guest-threads/repository.ts:235; server/domain/guest-threads/repository.ts:301; server/domain/guest-threads/repository.ts:316; server/domain/guest-threads/repository.ts:321; server/domain/guest-threads/repository.ts:421; server/domain/guest-threads/repository.ts:438; server/domain/guest-threads/repository.ts:443; server/domain/guest-threads/repository.ts:507; server/domain/guest-threads/repository.ts:543; server/domain/guest-threads/repository.ts:548; server/domain/guest-threads/operations.ts:148; server/domain/guest-threads/operations.ts:151; server/domain/guest-threads/operations.ts:188; server/domain/guest-threads/operations.ts:199; server/domain/guest-threads/operations.ts:212; server/domain/guest-threads/operations.ts:231; server/domain/guest-threads/operations.ts:398; server/domain/guest-threads/operations.ts:401; server/domain/guest-threads/operations.ts:413; server/domain/guest-threads/operations.ts:447; server/domain/guest-threads/operations.ts:450; server/domain/guest-threads/operations.ts:463; server/domain/guest-threads/entries.ts:66; server/domain/guest-threads/entries.ts:69; server/domain/guest-threads/entries.ts:102; server/domain/guest-threads/entries.ts:109; server/domain/guest-threads/entries.ts:114; server/domain/guest-threads/entries.ts:119; server/domain/guest-threads/entries.ts:128; server/domain/guest-threads/entries.ts:141; server/domain/guest-threads/deliveries.ts:232; server/domain/guest-threads/booking-changes.ts:185; server/domain/guest-threads/booking-changes.ts:188; server/domain/guest-threads/booking-changes.ts:195; server/api/whatsapp/webhook.post.ts:145; server/api/whatsapp/webhook.post.ts:177; server/api/whatsapp/webhook.post.ts:619; server/utils/notification-acknowledgement.ts:48; server/api/dev/submission-messages.get.ts:27; server/api/dev/notifications.get.ts:40	CONSTRAINT "guest_thread_entries_payload_json_check" CHECK(payload_json IS NULL OR (json_valid(payload_json))); CONSTRAINT "guest_thread_entries_kind_check" CHECK(kind IN ('submission', 'message', 'operation', 'assignment', 'resolution')); CONSTRAINT "guest_thread_entries_actor_kind_check" CHECK(actor_kind IN ('guest', 'member', 'system')); CONSTRAINT "guest_thread_entries_channel_check" CHECK(channel IS NULL OR channel IN ('web', 'email', 'whatsapp', 'system'))	Preserve current domain records and existing FK deletion lifecycle; no new age purge; explicit polymorphic owner cleanup where applicable
guest_threads	0	4	10	retain domain table	Guest inbox	One source thread with independent conversation attention state	domain/guest-threads/repository.ts; domain/guest-threads/operations.ts	seed-definitions/demo.ts:1747; scripts/canary-notifications.mjs:134; scripts/canary-notifications.mjs:159; scripts/canary-notifications.mjs:201; scripts/canary-notifications.mjs:272; scripts/generate-demo-seed.ts:232; server/cloudflare/guest-inbox-events.ts:25; scripts/reset-e2e-artifacts.ts:249; server/utils/dashboard-booking-details.ts:129; server/utils/dashboard-booking-details.ts:148; server/utils/experiences.ts:644; server/domain/guest-threads/repository.ts:35; server/domain/guest-threads/repository.ts:47; server/domain/guest-threads/repository.ts:77; server/domain/guest-threads/repository.ts:95; server/domain/guest-threads/repository.ts:207; server/domain/guest-threads/repository.ts:231; server/domain/guest-threads/repository.ts:330; server/domain/guest-threads/repository.ts:452; server/domain/guest-threads/repository.ts:503; server/domain/guest-threads/repository.ts:524; server/domain/guest-threads/repository.ts:538; server/domain/guest-threads/operations.ts:153; server/domain/guest-threads/operations.ts:197; server/domain/guest-threads/operations.ts:403; server/domain/guest-threads/operations.ts:411; server/domain/guest-threads/operations.ts:452; server/api/whatsapp/webhook.post.ts:146; server/api/whatsapp/webhook.post.ts:178; server/utils/location-management.ts:885; server/api/dev/submission-messages.get.ts:28; server/api/dev/notifications.get.ts:41	CONSTRAINT "guest_threads_submission_type_check" CHECK(submission_type IN ('contact', 'reservation', 'experience_booking')); CONSTRAINT "guest_threads_conversation_state_check" CHECK(conversation_state IN ('needs_attention', 'waiting_on_guest', 'resolved'))	Preserve current domain records and existing FK deletion lifecycle; no new age purge; explicit polymorphic owner cleanup where applicable
invitation	16	0	9	retain domain table	Better Auth	Supported provider-owned invitation schema/adapter contract; full pinned 18-table census proves indirect consumers	auth.ts; better-auth-stripe.ts; member-access.ts	scripts/provision-development-auth.ts:98		Preserve supported provider state/issued credentials exactly; provider expiry/revocation and existing FK lifecycle remain authoritative
jwks	2	0	7	retain domain table	Better Auth	Supported provider-owned jwks schema/adapter contract; full pinned 18-table census proves indirect consumers	auth.ts; better-auth-stripe.ts; member-access.ts			Preserve supported provider state/issued credentials exactly; provider expiry/revocation and existing FK lifecycle remain authoritative
location_qa	34	27	18	retain domain table	Location content	Question/answer scoped to location or page; provenance and publication	location-qa.ts; professional-services.ts	seed-definitions/pottery-house.ts:1176; seed-definitions/demo.ts:1514; server/utils/dashboard-editor-resources.ts:252; server/utils/copy-paste.ts:511; server/utils/copy-paste.ts:521; server/utils/copy-paste.ts:523; server/utils/location-qa.ts:79; server/utils/location-qa.ts:129; server/utils/location-qa.ts:136; server/utils/location-qa.ts:141; server/utils/location-qa.ts:145; server/utils/location-qa.ts:201; server/utils/location-qa.ts:214; server/utils/location-qa.ts:215; server/utils/location-qa.ts:236; server/utils/location-qa.ts:246; server/utils/qa-dashboard.ts:18; server/utils/public-page.ts:636; server/utils/public-page.ts:642; server/api/dashboard/onboarding/drafts/[draftId]/commit.post.ts:218; server/api/dashboard/onboarding/drafts/[draftId]/commit.post.ts:259; server/api/dashboard/onboarding/drafts/[draftId]/commit.post.ts:264; server/api/public/sites/[siteId]/locations/[slug].get.ts:63; server/api/editor/sites/[siteId]/qa/scopes.get.ts:11; server/api/public/sites/[siteId]/locations/[slug]/qa.get.ts:20	CONSTRAINT "location_qa_scope_check" CHECK(location_id IS NULL OR page_path IS NULL); CONSTRAINT "location_qa_page_path_check" CHECK(page_path IS NULL OR page_path LIKE '/%'); CONSTRAINT "location_qa_source_check" CHECK(source IN ('manual','import','template')); CONSTRAINT "location_qa_status_check" CHECK(status IN ('published','hidden'))	Preserve current domain records and existing FK deletion lifecycle; no new age purge; explicit polymorphic owner cleanup where applicable
mcp_tool_call_events	1501	0	28	retain domain table	MCP observability	Bounded redacted invocation/error/protocol facts; hashed session/client IDs	mcp-telemetry.ts; api/admin/mcp-usage.get.ts	server/utils/mcp-telemetry.ts:139; server/api/admin/mcp-usage.get.ts:27; server/api/admin/mcp-usage.get.ts:34; server/api/admin/mcp-usage.get.ts:41; server/api/admin/mcp-usage.get.ts:49; server/api/admin/mcp-usage.get.ts:57; server/api/dev/mcp-telemetry.get.ts:25	CONSTRAINT "mcp_tool_call_events_arguments_summary_json_check" CHECK(arguments_summary_json IS NULL OR (json_valid(arguments_summary_json))); CONSTRAINT "mcp_tool_call_events_result_summary_json_check" CHECK(result_summary_json IS NULL OR (json_valid(result_summary_json))); CONSTRAINT "mcp_tool_call_events_status_check" CHECK(status IN ('success', 'error', 'auth_required', 'blocked')); CONSTRAINT "mcp_tool_call_events_surface_check" CHECK(mcp_surface IN ('client', 'platform', 'public_help')); CONSTRAINT "mcp_tool_call_events_mutating_check" CHECK(is_mutating IN (0, 1)); CONSTRAINT "mcp_tool_call_events_duration_check" CHECK(duration_ms >= 0)	Preserve ledger/history exactly, including historical provider/source/event vocabulary; no new age purge
mcp_workspace_preferences	7	0	6	retain domain table	MCP user context	Explicit user scope selection; not authority or tenant content	mcp-context.ts	scripts/reset-e2e-artifacts.ts:237; server/utils/mcp-context.ts:72; server/utils/mcp-context.ts:252; server/utils/location-management.ts:876; server/utils/site-transfer.ts:166; server/utils/site-transfer.ts:304		Preserve current domain records and existing FK deletion lifecycle; no new age purge; explicit polymorphic owner cleanup where applicable
media_assets	339	272	23	retain domain table	Tenant media	Canonical first-party object identity/dimensions/source/lifecycle	media-asset-manager.ts; cloudflare-images.ts	seed-definitions/pottery-house.ts:1012; seed-definitions/kikuzuki.ts:766; seed-definitions/demo.ts:1356; scripts/backup-kikuzuki.mjs:88; scripts/backup-kikuzuki.mjs:115; scripts/client-import.mjs:505; scripts/generate-demo-seed.ts:114; server/utils/dashboard-home.ts:117; server/utils/dashboard-editor-resources.ts:245; server/utils/dashboard-context.ts:56; server/utils/dashboard-context.ts:523; server/utils/dashboard-context.ts:526; server/utils/dashboard-agenda.ts:186; server/utils/copy-paste.ts:382; server/utils/content-documents.ts:446; server/utils/media-placement.ts:238; server/utils/media-asset-manager.ts:154; server/utils/media-asset-manager.ts:320; server/utils/media-asset-manager.ts:368; server/utils/media-asset-manager.ts:426; server/utils/media-asset-manager.ts:470; server/utils/media-asset-manager.ts:497; server/utils/media-asset-manager.ts:518; server/utils/media-asset-manager.ts:525; server/utils/media-asset-manager.ts:550; server/utils/media-asset-manager.ts:575; server/utils/media-asset-manager.ts:582; server/utils/media-asset-manager.ts:616; server/utils/media-asset-manager.ts:650; server/api/sites/[siteId]/setup-progress.get.ts:71; server/api/sites/[siteId]/setup-progress.get.ts:100; server/api/sites/[siteId]/locations.get.ts:49; server/utils/social-card.ts:304; server/utils/site-settings.ts:104; server/utils/site-settings.ts:107; server/utils/site-settings.ts:110; server/utils/platform-media.ts:20; server/utils/platform-media.ts:33; server/utils/platform-media.ts:47; server/utils/platform-media.ts:169; server/utils/platform-content.ts:618; server/utils/platform-content.ts:655; server/utils/platform-content.ts:780; server/utils/platform-content.ts:814; server/utils/platform-content.ts:865; server/utils/platform-content.ts:1476; server/utils/platform-content.ts:1495; server/utils/onboarding-checklist.ts:86; server/utils/public-tenant-pages.ts:127; server/utils/public-tenant-pages.ts:148; server/utils/public-shell-query.ts:53; server/utils/public-shell-query.ts:60; server/utils/public-page.ts:478; server/utils/public-page.ts:585; server/utils/public-page.ts:589; server/utils/public-page.ts:609; server/utils/public-page.ts:624; server/utils/public-base.ts:65; server/utils/professional-services.ts:197; server/utils/professional-services.ts:337; server/middleware/tenant-resolution.ts:43; server/middleware/tenant-resolution.ts:55; server/api/public/blog.get.ts:18; server/api/public/review-requests/submit.post.ts:52; server/api/public/review-requests/submit.post.ts:123; server/api/public/review-requests/[requestId]/media/request-upload.post.ts:41; server/api/public/review-requests/[requestId]/media/upload.post.ts:50; server/api/public/review-requests/[requestId]/media/[assetId].delete.ts:28; server/api/public/review-requests/[requestId]/media/[assetId]/confirm.post.ts:55; server/api/public/review-requests/[requestId]/media/[assetId]/confirm.post.ts:60; server/api/public/sites/[siteId]/locations.get.ts:83; server/api/editor/sites/[siteId]/media/[assetId].patch.ts:35; server/api/editor/sites/[siteId]/media/[assetId].delete.ts:32; server/api/public/sites/[siteId]/locations/[slug].get.ts:46; server/api/public/sites/[siteId]/locations/[slug].get.ts:60; server/api/public/sites/[siteId]/locations/[slug]/media.get.ts:24; server/api/public/sites/[siteId]/blog.get.ts:19	CONSTRAINT "media_assets_kind_check" CHECK("media_assets"."kind" IN ('image', 'video', 'file')); CONSTRAINT "media_assets_category_check" CHECK(category IS NULL OR category IN ('exterior', 'interior', 'food', 'menu', 'team', 'other', 'logo', 'blog')); CONSTRAINT "media_assets_video_thumbnail_check" CHECK(kind <> 'video' OR (thumbnail_url IS NOT NULL AND length(trim(thumbnail_url)) > 0)); CONSTRAINT "media_assets_status_check" CHECK(status IN ('pending', 'active', 'deleted', 'failed')); CONSTRAINT "media_assets_provider_check" CHECK(provider IN ('cloudflare_images', 'cloudflare_r2')); CONSTRAINT "media_assets_source_check" CHECK(source IN ('uploaded', 'generated', 'external'))	Preserve current domain records and existing FK deletion lifecycle; no new age purge; explicit polymorphic owner cleanup where applicable
media_placements	705	588	11	retain domain table	Content media	Polymorphic owner/slot/asset assignments including generated cards	media-placement.ts	seed-definitions/tenant-pages.ts:116; seed-definitions/tenant-pages.ts:124; seed-definitions/pottery-house.ts:1020; seed-definitions/pottery-house.ts:1076; seed-definitions/pottery-house.ts:1217; seed-definitions/pottery-house.ts:1269; seed-definitions/kikuzuki.ts:774; seed-definitions/kikuzuki.ts:850; seed-definitions/kikuzuki.ts:949; seed-definitions/demo.ts:1364; seed-definitions/demo.ts:1466; seed-definitions/demo.ts:1555; seed-definitions/demo.ts:1611; seed-definitions/demo.ts:1681; scripts/backup-kikuzuki.mjs:92; scripts/audit-orphaned-media-placements.mjs:37; scripts/client-import.mjs:535; scripts/generate-demo-seed.ts:125; server/utils/dashboard-home.ts:116; server/utils/dashboard-editor-resources.ts:244; server/utils/dashboard-context.ts:55; server/utils/dashboard-context.ts:522; server/utils/dashboard-context.ts:525; server/utils/dashboard-agenda.ts:185; server/utils/copy-paste.ts:354; server/utils/copy-paste.ts:381; server/utils/copy-paste.ts:484; server/utils/copy-paste.ts:585; server/utils/content-documents.ts:303; server/utils/content-documents.ts:309; server/utils/content-documents.ts:445; server/utils/experiences.ts:634; server/utils/experiences.ts:635; server/utils/experiences.ts:640; server/utils/media-placement.ts:232; server/utils/media-placement.ts:234; server/utils/media-placement.ts:236; server/utils/media-placement.ts:279; server/utils/media-placement.ts:331; server/utils/media-placement.ts:373; server/utils/media-placement.ts:379; server/utils/media-placement.ts:404; server/utils/media-placement.ts:407; server/utils/media-placement.ts:414; server/utils/media-asset-manager.ts:152; server/utils/media-asset-manager.ts:187; server/utils/media-asset-manager.ts:264; server/utils/media-asset-manager.ts:319; server/utils/media-asset-manager.ts:498; server/utils/media-asset-manager.ts:624; server/utils/media-asset-manager.ts:653; server/api/sites/[siteId]/setup-progress.get.ts:71; server/api/sites/[siteId]/setup-progress.get.ts:99; server/api/sites/[siteId]/locations.get.ts:48; server/utils/location-management.ts:856; server/utils/location-management.ts:869; server/utils/localization.ts:774; server/utils/product-management.ts:1346; server/utils/product-management.ts:1348; server/utils/product-management.ts:1379; server/utils/product-management.ts:1381; server/utils/social-card.ts:303; server/utils/social-card.ts:306; server/utils/social-card.ts:351; server/utils/social-card.ts:354; server/utils/social-card.ts:426; server/utils/post-management.ts:485; server/utils/site-settings.ts:102; server/utils/site-settings.ts:105; server/utils/site-settings.ts:108; server/utils/site-reviews.ts:181; server/utils/platform-media.ts:19; server/utils/site-language-billing.ts:396; server/utils/site-language-billing.ts:397; server/utils/platform-content.ts:617; server/utils/platform-content.ts:654; server/utils/platform-content.ts:779; server/utils/platform-content.ts:813; server/utils/platform-content.ts:864; server/utils/platform-content.ts:1393; server/utils/platform-content.ts:1396; server/utils/platform-content.ts:1475; server/utils/platform-content.ts:1494; server/utils/platform-content.ts:1700; server/utils/platform-content.ts:1706; server/utils/onboarding-checklist.ts:85; server/utils/review-management.ts:85; server/utils/public-tenant-pages.ts:126; server/utils/public-tenant-pages.ts:147; server/utils/public-shell-query.ts:52; server/utils/public-shell-query.ts:57; server/utils/public-page.ts:476; server/utils/public-page.ts:585; server/utils/public-page.ts:589; server/utils/public-page.ts:608; server/utils/public-page.ts:623; server/utils/public-base.ts:65; server/utils/professional-services.ts:196; server/utils/professional-services.ts:336; server/middleware/tenant-resolution.ts:43; server/middleware/tenant-resolution.ts:54; server/api/public/blog.get.ts:17; server/api/dashboard/onboarding/drafts/[draftId]/commit.post.ts:220; server/api/dashboard/onboarding/drafts/[draftId]/commit.post.ts:224; server/api/dashboard/onboarding/drafts/[draftId]/commit.post.ts:272; server/api/public/review-requests/submit.post.ts:52; server/api/public/review-requests/submit.post.ts:123; server/api/public/review-requests/submit.post.ts:172; server/api/public/review-requests/[requestId]/media/request-upload.post.ts:40; server/api/public/review-requests/[requestId]/media/upload.post.ts:49; server/api/public/review-requests/[requestId]/media/[assetId].delete.ts:28; server/api/public/review-requests/[requestId]/media/[assetId].delete.ts:33; server/api/public/review-requests/[requestId]/media/[assetId]/confirm.post.ts:32; server/api/public/sites/[siteId]/locations.get.ts:82; server/api/public/sites/[siteId]/locations/[slug].get.ts:45; server/api/public/sites/[siteId]/locations/[slug].get.ts:60; server/api/public/sites/[siteId]/locations/[slug]/media.get.ts:23; server/api/public/sites/[siteId]/blog.get.ts:18	CONSTRAINT "media_placements_owner_type_check" CHECK("media_placements"."owner_type" IN ('site', 'business_location', 'product', 'post', 'blog_post', 'experience', 'offering', 'content_block', 'platform_doc', 'review', 'review_request', 'tenant_compliance', 'tenant_page')); CONSTRAINT "media_placements_sort_order_check" CHECK("media_placements"."sort_order" >= 0); CONSTRAINT "media_placements_status_check" CHECK("media_placements"."status" IN ('pending', 'active', 'rejected'))	Retain valid owner/slot assignments; discard exactly 30 proven synthetic Markdown owner relationships with row/parent/asset hashes; preserve all 339 assets and 679 content blocks byte-exact
member	25	8	5	retain domain table	Better Auth	Supported provider-owned member schema/adapter contract; full pinned 18-table census proves indirect consumers	auth.ts; better-auth-stripe.ts; member-access.ts	scripts/backup-kikuzuki.mjs:70; scripts/canary-prod.mjs:56; scripts/verify-seeded-d1.ts:29; scripts/generate-pottery-house-seed.ts:65; scripts/generate-ncls-seed.ts:66; scripts/generate-kikuzuki-seed.ts:89; scripts/generate-demo-seed.ts:97; scripts/generate-demo-seed.ts:325; scripts/generate-demo-seed.ts:339; scripts/generate-demo-seed.ts:348; scripts/provision-development-auth.ts:65; scripts/provision-development-auth.ts:97; server/api/dashboard/organizations/members/[memberId]/role.post.ts:87; server/api/dashboard/organizations/members/[memberId]/role.post.ts:91		Preserve supported provider state/issued credentials exactly; provider expiry/revocation and existing FK lifecycle remain authoritative
notification_reads	0	0	3	retain domain table	Notification acknowledgement	Per-user acknowledgement; empty source is still a live feature	notification-acknowledgement.ts	server/domain/guest-threads/repository.ts:236; server/domain/guest-threads/repository.ts:302; server/domain/guest-threads/repository.ts:422; server/domain/guest-threads/repository.ts:508; server/utils/notification-acknowledgement.ts:16; server/api/dashboard/notifications/unread-count.get.ts:10; server/api/dashboard/notifications/index.get.ts:31; server/api/dashboard/notifications/index.get.ts:38		Preserve current domain records and existing FK deletion lifecycle; no new age purge; explicit polymorphic owner cleanup where applicable
notifications	2	0	13	retain domain table	Dashboard notification	Scoped notification projection optionally linked to guest entry	notifications.ts; api/dashboard/notifications/index.get.ts	server/utils/analytics.ts:24; server/utils/analytics.ts:26; server/domain/guest-threads/repository.ts:234; server/domain/guest-threads/repository.ts:300; server/domain/guest-threads/repository.ts:420; server/domain/guest-threads/repository.ts:506; server/utils/notification-center.ts:63; server/utils/notification-acknowledgement.ts:18; server/api/dev/notifications.get.ts:28; server/api/dashboard/notifications/unread-count.get.ts:9; server/api/dashboard/notifications/index.get.ts:30; server/api/dashboard/notifications/index.get.ts:37		Preserve current domain records and existing FK deletion lifecycle; no new age purge; explicit polymorphic owner cleanup where applicable
oauthAccessToken	2	0	15	retain domain table	Better Auth	Supported provider-owned oauthAccessToken schema/adapter contract; full pinned 18-table census proves indirect consumers	auth.ts; better-auth-stripe.ts; member-access.ts			Preserve supported provider state/issued credentials exactly; provider expiry/revocation and existing FK lifecycle remain authoritative
oauthClient	31	0	36	retain domain table	Better Auth	Supported provider-owned oauthClient schema/adapter contract; full pinned 18-table census proves indirect consumers	auth.ts; better-auth-stripe.ts; member-access.ts			Preserve supported provider state/issued credentials exactly; provider expiry/revocation and existing FK lifecycle remain authoritative
oauthClientAssertion	106	0	2	retain domain table	Better Auth	Supported provider-owned oauthClientAssertion schema/adapter contract; full pinned 18-table census proves indirect consumers	auth.ts; better-auth-stripe.ts; member-access.ts			Preserve supported provider state/issued credentials exactly; provider expiry/revocation and existing FK lifecycle remain authoritative
oauthClientResource	0	0	5	retain domain table	Better Auth	Supported provider-owned oauthClientResource schema/adapter contract; full pinned 18-table census proves indirect consumers	auth.ts; better-auth-stripe.ts; member-access.ts			Preserve supported provider state/issued credentials exactly; provider expiry/revocation and existing FK lifecycle remain authoritative
oauthConsent	39	0	9	retain domain table	Better Auth	Supported provider-owned oauthConsent schema/adapter contract; full pinned 18-table census proves indirect consumers	auth.ts; better-auth-stripe.ts; member-access.ts			Preserve supported provider state/issued credentials exactly; provider expiry/revocation and existing FK lifecycle remain authoritative
oauthRefreshToken	402	0	19	retain domain table	Better Auth	Supported provider-owned oauthRefreshToken schema/adapter contract; full pinned 18-table census proves indirect consumers	auth.ts; better-auth-stripe.ts; member-access.ts			Preserve supported provider state/issued credentials exactly; provider expiry/revocation and existing FK lifecycle remain authoritative
oauthResource	2	2	15	retain domain table	Better Auth	Supported provider-owned oauthResource schema/adapter contract; full pinned 18-table census proves indirect consumers	auth.ts; better-auth-stripe.ts; member-access.ts			Preserve supported provider state/issued credentials exactly; provider expiry/revocation and existing FK lifecycle remain authoritative
offerings	6	6	25	retain domain table	Professional services	Client service content/FAQ/features/CTA/route and provenance	professional-services.ts; professional-services-editor.ts	server/utils/module-content-guard.ts:56; server/utils/professional-services-editor.ts:111; server/utils/professional-services-editor.ts:247; server/utils/professional-services-editor.ts:283; server/utils/social-card.ts:173; server/utils/onboarding-checklist.ts:91; server/utils/public-tenant-pages.ts:68; server/utils/public-locale-representations.ts:41; server/utils/professional-services.ts:139; server/utils/professional-services.ts:152; server/utils/professional-services.ts:232; server/utils/professional-services.ts:658; server/plugins/sitemap.ts:175	CONSTRAINT "offerings_features_check" CHECK(features IS NULL OR (json_valid(features) AND json_type(features) IS 'array')); CONSTRAINT "offerings_faqs_check" CHECK(faqs IS NULL OR (json_valid(faqs) AND json_type(faqs) IS 'array'))	Preserve current domain records and existing FK deletion lifecycle; no new age purge; explicit polymorphic owner cleanup where applicable
onboarding_drafts	1	0	13	retain domain table	Onboarding	Resumable versioned source/preview payload with commit lifecycle	onboarding-drafts.ts; api/dashboard/onboarding/drafts/[draftId]/commit.post.ts	server/utils/onboarding-drafts.ts:332; server/utils/public-draft-bootstrap.ts:35; server/middleware/tenant-resolution.ts:266; server/api/dashboard/onboarding/drafts/active.post.ts:86; server/api/dashboard/onboarding/drafts/[draftId]/commit.post.ts:77; server/api/dashboard/onboarding/drafts/[draftId]/commit.post.ts:88; server/api/dashboard/onboarding/drafts/[draftId]/commit.post.ts:108; server/api/dashboard/onboarding/drafts/[draftId]/commit.post.ts:291; server/api/dashboard/onboarding/drafts/[draftId]/commit.post.ts:342; server/api/dashboard/onboarding/drafts/[draftId]/commit.post.ts:357; server/api/dashboard/onboarding/drafts/[draftId]/media/upload.post.ts:46; server/api/dashboard/onboarding/drafts/[draftId]/media/upload.post.ts:94; server/api/dashboard/onboarding/drafts/[draftId]/media/upload.post.ts:111	CONSTRAINT "onboarding_drafts_source_type_check" CHECK(source_type IN ('google_places', 'manual')); CONSTRAINT "onboarding_drafts_payload_json_check" CHECK(payload_json IS NULL OR (json_valid(payload_json) AND json_type(payload_json) IS 'object')); CONSTRAINT "onboarding_drafts_status_check" CHECK(status IN ('active', 'committing', 'committed', 'failed'))	Preserve current domain records and existing FK deletion lifecycle; no new age purge; explicit polymorphic owner cleanup where applicable
organization	14	9	7	retain domain table	Better Auth	Supported provider-owned organization schema/adapter contract; full pinned 18-table census proves indirect consumers	auth.ts; better-auth-stripe.ts; member-access.ts	seed-definitions/billing-sql.ts:75; scripts/backup-kikuzuki.mjs:58; scripts/client-import.mjs:882; scripts/generate-pottery-house-seed.ts:53; scripts/generate-pottery-house-seed.ts:57; scripts/generate-ncls-seed.ts:54; scripts/generate-ncls-seed.ts:63; scripts/generate-kikuzuki-seed.ts:77; scripts/generate-kikuzuki-seed.ts:81; scripts/generate-demo-seed.ts:94; scripts/generate-demo-seed.ts:300; scripts/generate-demo-seed.ts:322; scripts/generate-demo-seed.ts:336; scripts/reset-e2e-artifacts.ts:20; scripts/reset-e2e-artifacts.ts:21; scripts/reset-e2e-artifacts.ts:36; scripts/reset-e2e-artifacts.ts:173; scripts/reset-e2e-artifacts.ts:220; server/utils/localization.ts:352	CONSTRAINT "organization_slug_required_check" CHECK(trim("organization"."slug") <> '')	Preserve supported provider state/issued credentials exactly; provider expiry/revocation and existing FK lifecycle remain authoritative
organization_billing	5	7	12	retain domain table	Payment/access projection	Payment/order evidence and access grant; remove auth identity mirrors	organization-billing.ts; better-auth-stripe.ts	seed-definitions/billing-sql.ts:86; server/utils/better-auth-stripe.ts:222; server/utils/better-auth-stripe.ts:232; server/utils/better-auth-stripe.ts:845; server/tasks/review-request-automation.ts:81; server/tasks/review-request-automation.ts:115; server/tasks/review-request-automation.ts:152; server/tasks/review-request-automation.ts:166; server/tasks/instagram-sync-process.ts:71; server/tasks/google-places-sync.ts:77; server/api/user/delete-account.post.ts:37; server/utils/stripe-processed-invoice-replay.ts:358; server/utils/stripe-processed-invoice-replay.ts:793; server/utils/site-transfer.ts:109; server/utils/site-transfer.ts:237; server/utils/site-transfer.ts:250; server/utils/organization-subscription-reconciliation.ts:1151; server/utils/organization-billing.ts:76; server/api/admin/clients.get.ts:147; server/api/dev/billing-state.get.ts:27	CONSTRAINT "organization_billing_payment_status_check" CHECK(payment_status IN ('unknown', 'paid', 'processing', 'failed', 'pending', 'trialing', 'past_due')); CONSTRAINT "organization_billing_access_plan_check" CHECK("organization_billing"."access_plan" IN ('free', 'growth'))	Preserve current domain records and existing FK deletion lifecycle; no new age purge; explicit polymorphic owner cleanup where applicable
organization_events	390	0	10	retain domain table	Organization audit history	Append-only domain facts; retired menu event vocabulary stays historical	organization-events.ts; dashboard-events.ts	server/utils/dashboard-home.ts:133; server/utils/dashboard-events.ts:54; server/utils/organization-events.ts:30; server/api/public/review-requests/[requestId]/media/[assetId]/confirm.post.ts:51	CONSTRAINT "organization_events_metadata_check" CHECK(metadata IS NULL OR (json_valid(metadata)))	Preserve ledger/history exactly, including historical provider/source/event vocabulary; no new age purge
platform_contact_submissions	0	0	12	retain domain table	Platform support intake	Durable support request/source/route/optional agent summary	api/contact.post.ts	server/api/contact.post.ts:181	CONSTRAINT "platform_contact_submissions_agent_metadata_json_check" CHECK(agent_metadata_json IS NULL OR (json_valid(agent_metadata_json)))	Preserve current domain records and existing FK deletion lifecycle; no new age purge; explicit polymorphic owner cleanup where applicable
platform_docs	9	0	22	retain domain table	Platform documentation	Document metadata/navigation; rich body in content_documents	platform-content.ts; platform-llm.ts	scripts/audit-orphaned-media-placements.mjs:13; scripts/audit-orphaned-media-placements.mjs:41; scripts/epoch5-data.mjs:82; server/utils/content-documents.ts:20; server/utils/media-asset-manager.ts:135; server/utils/social-card.ts:177; server/utils/platform-llm.ts:270; server/utils/platform-llm.ts:315; server/utils/platform-content.ts:653; server/utils/platform-content.ts:1474; server/utils/platform-content.ts:1493; server/utils/platform-content.ts:1538; server/utils/platform-content.ts:1607; server/utils/platform-content.ts:1661; server/utils/platform-content.ts:1716; server/utils/platform-content.ts:1777; server/utils/public-search.ts:467; server/plugins/sitemap.ts:71		Preserve current domain records and existing FK deletion lifecycle; no new age purge; explicit polymorphic owner cleanup where applicable
platform_locale_catalogs	1	0	11	retain domain table	Translation release	Locale availability and source manifest publication identity	localization.ts; site-language-billing.ts	server/utils/localization.ts:196; server/utils/localization.ts:217; server/utils/localization.ts:247; server/utils/localization.ts:261; server/utils/localization.ts:272; server/utils/localization.ts:284; server/utils/localization.ts:297; server/utils/localization.ts:316; server/utils/localization.ts:323; server/utils/localization.ts:355; server/utils/site-language-billing.ts:101; server/utils/site-language-billing.ts:443; server/utils/site-language-billing.ts:450	CONSTRAINT "platform_locale_catalogs_direction_check" CHECK("platform_locale_catalogs"."direction" IN ('ltr', 'rtl')); CONSTRAINT "platform_locale_catalogs_status_check" CHECK("platform_locale_catalogs"."status" IN ('unavailable', 'available'))	Preserve current domain records and existing FK deletion lifecycle; no new age purge; explicit polymorphic owner cleanup where applicable
